family,fold,diameter_in,pitch_in,points,atlas_c,atlas_weight,fixed_joint,fixed_ct,fixed_cp,plain_j_joint,plain_j_ct,plain_j_cp,safe_atlas_joint,safe_atlas_ct,safe_atlas_cp,raw_atlas_joint,raw_atlas_ct,raw_atlas_cp,direct_poly_joint,direct_poly_ct,direct_poly_cp,extra_trees_joint,extra_trees_ct,extra_trees_cp,hist_gb_joint,hist_gb_ct,hist_gb_cp,mlp_joint,mlp_ct,mlp_cp
ancf_13x5,2,13.0,5.0,114,-0.10033640501698438,0.5,0.048602924310251455,0.035782548078016875,0.06601665835416803,0.04240580576923929,0.023870344575012043,0.07533416022912778,0.06398479147224018,0.0393016310738314,0.10417006693831705,0.0952628456397277,0.06198216038989514,0.14641325346346062,0.0731286529688801,0.028605601441442575,0.1869493950683111,0.07887293744119464,0.029317995978163053,0.21218845466914418,0.08250041391617156,0.034114847397785066,0.19951190802575713,0.13593443689599058,0.0632673171894118,0.29206503381373805
ancf_13x65,2,13.0,65.0,146,-0.11168895571662185,0.0,0.060478386809398606,0.07909789012972482,0.04624188161110896,0.07350405827204602,0.05492762583572309,0.0983630095103529,0.060478386809398606,0.07909789012972482,0.04624188161110896,0.037283983887335545,0.021394341912518686,0.06497491066540803,0.10780937641087707,0.04808918055667755,0.24169390094729432,0.0807005083002689,0.03259790739649343,0.19978497271951662,0.07310342363703944,0.03558678509651692,0.15017120914301174,0.16309886124624287,0.11060316176523023,0.2405106519132411
ancf_14x12,2,14.0,12.0,107,-0.06803137256873115,0.1,0.027842584262338384,0.023676632814617626,0.03274154329608936,0.041760263105453416,0.03875909570749833,0.04499381481439762,0.028423387978933366,0.024196528821825446,0.03338863149131755,0.03757958360869576,0.030394911392025156,0.046462550457491605,0.036759200422024296,0.02649269074870579,0.051004212010158353,0.07175015470429115,0.06990729242780264,0.07364159762597648,0.0454373744931809,0.038766298424938665,0.05325643883258717,0.07657029666198713,0.06568373168597072,0.08926122466572628
ancf_14x9,2,14.0,9.0,97,-0.16415464588585071,0.0,0.03823261503570759,0.02529986395897865,0.057776312743763214,0.043835738361709245,0.032174818761589674,0.05972285258091963,0.03823261503570759,0.02529986395897865,0.057776312743763214,0.025884462827230597,0.03459670909520748,0.019366160348097832,0.05103233575433727,0.026863873381271663,0.09694429599117363,0.06000355118574793,0.03898591233125543,0.09235197894841034,0.05281449947825418,0.03355653783974275,0.08312452757968712,0.07675701489742691,0.05183896907115959,0.11365271033604732
ancf_9x6,2,9.0,6.0,94,-0.12209302216917794,1.0,0.04235775966535945,0.032138387588799264,0.05582669008863568,0.043987402860421784,0.0634144451559832,0.030511843250314773,0.020471841718052282,0.01665826729997546,0.025158457106136314,0.020471841718052282,0.01665826729997546,0.025158457106136314,0.042584761479704206,0.025887037664248918,0.070052894186026,0.06312595349462413,0.04951325573581757,0.08048119529580454,0.05368378896595723,0.03670439868092744,0.07851781533854597,0.04020434389271596,0.02084134874727732,0.07755684564584284
ancf_10x12,3,10.0,12.0,152,0.6497879755815368,0.0,0.04159416805853372,0.0505363689978033,0.03423425249559874,0.04406006021359631,0.06397867688287841,0.030342748562611318,0.04159416805853372,0.0505363689978033,0.03423425249559874,0.14445430177451798,0.1732518550310131,0.12044341630528684,0.07944027880030956,0.05211468324085257,0.12109366311803513,0.14135434052615536,0.13293274769217409,0.1503094604788689,0.15583962417015515,0.14327806917447825,0.16950248283930114,0.14916552391988028,0.12149148758445229,0.18314331290762662
ancf_10x4,3,10.0,4.0,93,0.010572384710124227,1.0,0.03598547324526293,0.044404800364999726,0.02916248410174656,0.04455072850569611,0.03942872095869877,0.05033811298284999,0.033080063712667834,0.02482386394771731,0.0440822032194061,0.033080063712667834,0.02482386394771731,0.0440822032194061,0.054573346331653755,0.02114731164515384,0.14083351017892282,0.08855136292184872,0.04450020483091041,0.17620916364569778,0.07812120962004011,0.03381415249030832,0.18048429261231502,0.11078903160765274,0.05906061506268372,0.20782393667140617
ancf_11x12,3,11.0,12.0,154,0.786235793942445,0.0,0.0470673440461551,0.05954022438733801,0.03720736524517114,0.04919214342449391,0.07436084134018281,0.03254222156559089,0.0470673440461551,0.05954022438733801,0.03720736524517114,0.15177275232722148,0.17764649439936606,0.12966745235735042,0.06471677896044033,0.046061958110866885,0.0909266920206417,0.11726535119196278,0.10853192343886885,0.12670154692245714,0.1418638572964691,0.12771757331006683,0.15757701532719812,0.14311795461463717,0.12202922759229727,0.16785117252000256
ancf_12x13,3,12.0,13.0,155,-1.2185023348655113,0.0,0.03750606425512386,0.03329319584055925,0.04225202238457893,0.045420113661644036,0.04840332591163977,0.042620763887230476,0.03750606425512386,0.03329319584055925,0.04225202238457893,0.5511791386663969,0.44986114999470234,0.6753160234099095,0.0631560051237628,0.04764950278867728,0.08370876399030473,0.1113857092504293,0.10359466438881865,0.11976269529341012,0.13580749438050166,0.1228861157380836,0.15008754584790018,0.16297639903344308,0.1365673760259684,0.1944923261676889
ancf_12x6,3,12.0,6.0,97,-0.04944298880555964,0.0,0.04177328367561583,0.0640306020375684,0.02725270688567993,0.04533561858156028,0.02865231909704638,0.07173305257460245,0.04177328367561583,0.0640306020375684,0.02725270688567993,0.023392113465525964,0.015723081942139106,0.03480176306386383,0.050077626938904954,0.018124022466326065,0.13836711604675533,0.05772023809742295,0.02322270668992589,0.14346415043292388,0.055305799738047536,0.02264626886546033,0.13506558200985327,0.085257213803121,0.03767498705311907,0.1929341739447077
ancf_13x11,3,13.0,11.0,140,-0.15449673532091435,0.4,0.020019970599685955,0.020318276260666273,0.019726044555668776,0.033105620290586356,0.030178981397659375,0.036316073110058154,0.021518076826424915,0.014376171254560645,0.032207993499036525,0.028400739071088414,0.01115314495788409,0.07232058606159028,0.035669105770706165,0.0184444113020396,0.06897943694961592,0.057286973880504785,0.0356116050699355,0.09215527831280597,0.056227553880684775,0.03089964335559368,0.10231632058086472,0.04676765666173604,0.023940139253945104,0.09136177891152374
ancf_15x6,3,15.0,6.0,59,-0.06398100138697549,0.5,0.03639768157707709,0.024969702916683042,0.053055946584817486,0.029806162413989142,0.019840974007414372,0.04477639643684378,0.03462443171038912,0.021123374218626232,0.05675472388356748,0.05011915933311006,0.032080376369720616,0.07830114283286849,0.09523872140719923,0.03881535040109414,0.23368110712772103,0.08484358437916975,0.032049621930222226,0.22460276835644358,0.08535798644730988,0.031677370938295514,0.23000601484673522,0.11555444383302432,0.04760247287691773,0.2805070552549868
ancf_16x6,3,16.0,6.0,64,-0.061581102380322994,0.9,0.05310505768309105,0.042538239155561194,0.06629675340371345,0.03485807245647463,0.02304531829056638,0.052725902938742734,0.05279810425862823,0.03413333197146928,0.08166913841388398,0.05687667506912736,0.03741597309286977,0.08645922849285904,0.08487220938485063,0.034752106528734984,0.20727641128487684,0.08109247156346248,0.03276204630136061,0.20071972561731807,0.0932938361317731,0.04073968802068639,0.21364277153429925,0.10874087449649641,0.049118828402210796,0.2407341170566391
ancf_10x5,4,10.0,5.0,80,-0.12250860335646307,1.0,0.03982674498229272,0.03763233712427404,0.04214911262743363,0.03653262800723023,0.031958021498766524,0.041762063060323526,0.0638179947794791,0.04718679694605394,0.08631093274522864,0.0638179947794791,0.04718679694605394,0.08631093274522864,0.05440795749475405,0.026512258147038722,0.11165498700010223,0.06188173429999901,0.03082637784583302,0.12422312667179966,0.06018433721000378,0.0285322344701997,0.12694955416795628,0.09936547866167669,0.0527731024093772,0.1870933846767689
ancf_10x6,4,10.0,6.0,90,-0.0932319368222232,0.7000000000000001,0.04895166292752153,0.06768720662182331,0.03540204158162284,0.05235158696008356,0.05038336371450477,0.05439669873510609,0.026049343421950543,0.028659051891182494,0.023677276390413057,0.02486210255113884,0.020891046391558275,0.029587993424451838,0.052851706590707884,0.025296661207280673,0.11042180099033504,0.058941100643911795,0.03148506109070765,0.11033973652161834,0.057005455201815804,0.02963323333697885,0.10966140231181172,0.10732266512618323,0.056834254333859746,0.20266218999067212
ancf_11x10,4,11.0,10.0,145,-0.29052139150716727,1.0,0.03510620703548055,0.030106376730653833,0.04093636984098347,0.04806795678568887,0.03805729157271934,0.06071184716694638,0.045144676242754055,0.028853484022241922,0.07063416644908611,0.045144676242754055,0.028853484022241922,0.07063416644908611,0.03532834610031206,0.026546019832617052,0.04701616460972826,0.07115503553683308,0.06748384596788266,0.07502594153655101,0.06642113367532007,0.043034547838304994,0.10251686657174146,0.08670550782619545,0.0776911277098448,0.09676581237790166
ancf_11x7,4,11.0,7.0,116,-0.08977462863052943,0.0,0.035471611981159015,0.06943310421721817,0.018121546929625594,0.05972302203486116,0.042988568823852664,0.08297180991513756,0.035471611981159015,0.06943310421721817,0.018121546929625594,0.026539771529222447,0.012447218966756213,0.05658769840110597,0.042336856902694744,0.020228909956217754,0.08860632907450948,0.05952389266443221,0.03662018875655542,0.09675247229009966,0.047166433071050395,0.02735034425806494,0.08133983205677113,0.11129958770282226,0.061440278048624515,0.20162015238626593
ancf_11x8,4,11.0,8.0,119,-0.10743764605254058,0.30000000000000004,0.06052429602365523,0.08183830225314596,0.04476131967923651,0.0743207806121134,0.0428056460461636,0.12903854843907758,0.04788667882927236,0.058985872038539895,0.03887598724995716,0.032140978001674786,0.014249492047868512,0.07249679240732435,0.04488156052135224,0.022931573354718772,0.08784196547147506,0.04889811133446083,0.029476601579086385,0.08111604336959102,0.04697800090008613,0.02721036522392812,0.0811063192429248,0.10173719296344301,0.056099899156141504,0.18450044630691156
ancf_12x5,4,12.0,5.0,86,-0.08385411265653042,0.30000000000000004,0.03221087702111852,0.035413762108933836,0.029297666688958775,0.04205434018731211,0.029115477311692693,0.06074320917555156,0.03187568093284613,0.02550366487645229,0.03983972655909327,0.05335396928340002,0.0284704880996958,0.09998585301122423,0.05258322770554928,0.018410468117905865,0.15018606904647003,0.09282526866804226,0.04642079613048399,0.18561789589032604,0.08619936673494645,0.04012247714573577,0.18519122831117346,0.10744650259751674,0.04992668699387838,0.23123406770118154
ancf_13x8,4,13.0,8.0,168,-0.09031193870179632,0.7000000000000001,0.061111616480056176,0.14703621878434706,0.02539938594505702,0.08309173609947526,0.05874244908774368,0.11753402718555318,0.047505531271549446,0.049372236398509475,0.045709404029757365,0.04056442490098013,0.025016809748712978,0.06577467647056438,0.059427067366327024,0.03690329317523841,0.09569813509574826,0.05707609487453717,0.036977313550618646,0.0880994397191049,0.04773387714534685,0.030018157986067568,0.07590482495243728,0.07095206898249194,0.04265551577397687,0.11801981529356023
