atlas_joint_error,atlas_probe_loss,atlas_vs_generic_hybrid_cubic_ratio,catastrophic,cell,development_target_cell,discharge_order,eta,event_index,event_rank_fraction,fallback_certification_loss,generic_hybrid_cubic_joint_error,last_probe_after_event,local_joint_error,local_relaxation_error,local_tail_error,local_temperature_coordinate,local_temperature_kind,local_voltage_coordinate,local_voltage_kind,q_off_Ah,raw_points,relaxation_points,relaxation_safe_vs_local_ratio,rest_duration_s,safe_joint_error,safe_relaxation_error,safe_tail_error,safe_vs_local_ratio,scored_points,selected_lambda,source_cycle_index,tail_points,tail_safe_vs_local_ratio
0.017976221749356962,3.8795831634912374e-05,0.05816564195553064,False,B0005,B0005,58,-0.19999999999999885,326,0.9476744186046512,0.0008779676326175337,0.30905223676720217,False,0.062822042618596,0.228027479115935,0.19816517513526782,rank,poly3,charge,pchip,1.7003116833580039,345,18,0.27738604583574317,174.21900000000005,0.020300008024687753,0.06325164077386171,0.05347576152752236,0.3231351159326795,340,0.75,193,28,0.2698544862437092
0.022525341679794104,3.90811722269992e-05,0.064758175089279,False,B0005,B0005,63,-0.09999999999999876,319,0.9382352941176471,0.0004943119694955894,0.3478378081028301,False,0.10753979446845334,0.40798599699753263,0.3624290398504275,rank,poly3,time,pchip,1.6637263143294274,341,21,0.18442034322947237,203.82799999999997,0.022525341679794104,0.07524091759910345,0.06812839101051316,0.20946052381011276,336,1.0,213,27,0.18797718593032547
0.02221558670384011,2.5595357923434744e-05,0.05810694126350699,False,B0005,B0005,69,-0.09999999999999876,312,0.9285714285714286,0.0003237420523394765,0.38232242518317183,False,0.1515573098347109,0.5442104944030288,0.5135704601985952,rank,poly3,time,pchip,1.6277528915533626,337,24,0.13274639921308087,232.6869999999908,0.02221558670384011,0.07224198354597258,0.06940581974211181,0.14658208652600477,332,1.0,235,27,0.13514371468186256
0.08076001372271846,3.205042283980498e-05,0.20531366764674214,False,B0005,B0005,75,1.3322676295501878e-15,304,0.9156626506024096,0.0006535824841749695,0.3933494279673199,True,0.16512392913211635,0.55780047556843,0.55780047556843,time,poly3,hybrid,pchip,1.5857889968242223,333,27,0.34029823322369757,271.422,0.05536505122697318,0.18981851632727503,0.18981851632727503,0.3352939305524602,328,0.75,259,27,0.34029823322369757
0.030510278728249806,3.92127994189844e-05,0.11635001801731197,False,B0005,B0005,81,-0.09999999999999876,299,0.9088145896656535,0.00011780692668266241,0.2622283971087148,True,0.19708264966705796,0.6201962608907741,0.6536361558479938,rank,poly3,hybrid,poly3,1.5594815668184239,330,29,1.0,290.875,0.19708264966705796,0.6201962608907741,0.6536361558479938,1.0,325,0.0,281,26,1.0
0.03196000026146695,1.4728635847434958e-05,0.21892365119293009,False,B0005,B0005,86,-0.09999999999999876,293,0.9015384615384615,0.00027616617241057106,0.14598696891502905,True,0.08241997213995036,0.1527187321624367,0.15967521089232725,charge,poly3,charge,poly3,1.528525262975645,326,31,1.0,310.703,0.08241997213995036,0.1527187321624367,0.15967521089232725,1.0,321,0.0,301,26,1.0
0.03228244731782256,1.5195478123552454e-05,0.23393809137399468,False,B0005,B0005,92,-0.09999999999999876,294,0.901840490797546,0.00011507124816317238,0.13799568564579295,True,0.07809096566070202,0.1467485785498692,0.1539017100327716,charge,poly3,charge,poly3,1.5323755631868592,327,31,1.0,310.3130000000001,0.07809096566070202,0.1467485785498692,0.1539017100327716,1.0,322,0.0,323,26,1.0
0.032976614912579756,6.803650018215236e-06,0.3315246814758436,False,B0005,B0005,98,-0.09999999999999876,286,0.8909657320872274,0.0016637514373336292,0.09946956216284786,True,0.0871361638450817,0.12806455192459743,0.13083836733297263,charge,poly3,charge,pchip,1.490857293995849,322,34,1.0,339.8589999999999,0.0871361638450817,0.12806455192459743,0.13083836733297263,1.0,317,0.0,347,26,1.0
0.025590799969734908,9.134819540587823e-06,0.2603326424094738,False,B0005,B0005,104,-0.09999999999999876,284,0.890282131661442,0.0012281526431620446,0.09830038881364511,True,0.08821882935339091,0.13284045441292494,0.1353579437397679,charge,poly3,charge,pchip,1.4808061452709278,320,34,1.0,339.2190000000119,0.08821882935339091,0.13284045441292494,0.1353579437397679,1.0,315,0.0,370,26,1.0
0.025018077604856824,1.0516559023023011e-05,0.23088521094038464,False,B0005,B0005,109,-0.09999999999999876,278,0.879746835443038,0.0040125377746038915,0.10835721137338926,True,0.09563633247462304,0.12138743165129313,0.11242844538101068,charge,pchip,charge,pchip,1.4490421637612356,317,37,0.4614355859737464,368.4850000000006,0.04341354984437281,0.05601248065386254,0.05994517595716042,0.4539441101622391,312,0.5,390,25,0.5331851361460277
0.02031122272175548,8.098213908803676e-06,0.1638647622057138,False,B0005,B0005,115,-0.04999999999999871,272,0.8717948717948718,0.00722211465203052,0.12395113170369734,True,0.09875837834752606,0.11911605657805413,0.10481616538132657,charge,pchip,charge,pchip,1.4174290327313088,313,39,0.4596889000128583,387.875,0.04576644410589179,0.054756329022235095,0.056245903004453375,0.46341834355402073,308,0.5,414,25,0.5366147750189859
0.01970159907833786,1.1000312043980658e-05,0.16716387487387832,False,B0005,B0005,121,-0.04999999999999871,272,0.8717948717948718,0.006143502364121488,0.11785799469653542,True,0.09607711841189276,0.11660042873952448,0.10372797149676066,charge,pchip,charge,pchip,1.417354717448552,313,39,0.455730993755979,387.96900000000005,0.04411017463943852,0.0531384292618367,0.05497529027158021,0.459112173309919,308,0.5,436,25,0.5299948459254026
0.025307104923716055,7.159914404130265e-06,0.18438273944605604,False,B0005,B0005,127,-0.04999999999999871,265,0.8603896103896104,0.011376162322506548,0.13725311273575058,True,0.10296229265383847,0.12024443512139846,0.09760130259055662,charge,pchip,charge,pchip,1.3804366761974143,309,42,0.41063284892660507,417.28099999999995,0.04508125376762097,0.04937631496147018,0.04912707652944202,0.4378423654491179,304,0.5,460,25,0.5033444762057437
0.02354185163969643,8.466394077075693e-06,0.17752211279695268,False,B0005,B0005,132,-0.04999999999999871,264,0.8599348534201955,0.01052882638133689,0.13261362919121672,True,0.10107207951946275,0.11945633375107868,0.09738294915037213,charge,pchip,charge,pchip,1.3753981486027749,308,42,0.4171261591574992,416.59400000000005,0.04456548019805129,0.04982836168462379,0.04936120933615171,0.4409277063451497,303,0.5,480,25,0.5068773308552351
0.025349363459577594,8.344732540243434e-06,0.18572762908170812,False,B0005,B0005,138,-0.04999999999999871,260,0.8524590163934426,0.012389225042201201,0.13648676605043786,True,0.10674625577809557,0.12428288249825335,0.0894415952660014,charge,pchip,charge,pchip,1.3547095336726727,306,44,0.22292430095928428,436.3899999999999,0.020864681797263196,0.027705674702127994,0.02782241219748691,0.19546054936705937,301,0.75,500,24,0.3110679333786747
0.02273336386289503,8.303387839584106e-06,0.1551631226450563,False,B0005,B0005,144,1.3322676295501878e-15,255,0.8443708609271523,0.018163748435321127,0.1465126730846915,True,0.10967994059579468,0.12658443817666612,0.08604395614177736,charge,pchip,charge,pchip,1.3286554819964467,303,46,0.21542449199130037,455.8910000000001,0.022030151393748608,0.027269388288212466,0.026126124578109727,0.20085852776795982,298,0.75,524,24,0.3036369519674442
