cell,discharge_order,source_cycle_index,raw_points,scored_points,tail_points,local_voltage_kind,local_temperature_kind,selected_lambda,probe_certification_error,safe_joint_error,local_joint_error,flow_joint_error,safe_vs_local_ratio,safe_tail_error,local_tail_error,tail_safe_vs_local_ratio,catastrophic,development_target_cell,clock_regularization,blend_penalty,transport_alpha,transport_beta,transport_tau,transport_temperature_lag,transport_C_probe_Ah,transport_probe_data_loss,transport_regularized_objective
B0005,138,500,306,301,24,pchip,pchip,0.0,0.01811329321860581,0.10674625577809557,0.10674625577809557,0.11247322425795384,1.0,0.08944159526600146,0.08944159526600146,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.5624469462069857,0.004793318609507408,0.005580818609507408
B0005,144,524,303,298,24,pchip,pchip,0.0,0.023831556711863044,0.10967994059579467,0.10967994059579467,0.11802261235567699,1.0,0.08604395614177736,0.08604395614177736,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.562104276320089,0.005740442778326385,0.006527942778326385
B0005,150,547,305,300,24,pchip,pchip,0.0,0.01430287534535785,0.10409036574968834,0.10409036574968834,0.10905281301568849,1.0,0.09353053127796307,0.09353053127796307,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.5623155508551139,0.003887525952415631,0.004675025952415631
B0005,155,567,301,296,24,pchip,pchip,0.0,0.026801909893204755,0.1073137939005913,0.1073137939005913,0.11713192855600067,1.0,0.08344666125083829,0.08344666125083829,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.544055691887485,0.006844588625895759,0.007632088625895759
B0005,161,591,298,293,24,pchip,pchip,0.0,0.028791950235528486,0.10874074135712991,0.10874074135712991,0.11883175798772434,1.0,0.08451256194754754,0.08451256194754754,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.5235233220400133,0.007286035356560255,0.008073535356560255
B0005,167,613,300,295,24,pchip,pchip,0.0,0.01883487004308291,0.10600372288790949,0.10600372288790949,0.11353005404415906,1.0,0.09341748327791664,0.09341748327791664,1.0,False,B0005,0.1,0.03,0.0,1.0,-0.15,0.0,1.543674396005991,0.004863270761779437,0.005650770761779437
B0006,0,1,197,192,16,pchip,poly3,0.0,0.0018925291417733058,0.06541492806465364,0.06541492806465364,0.08750576899790047,1.0,0.21369608771054566,0.21369608771054566,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.9774156465425776,0.00021144129141529845,0.00021144129141529845
B0006,6,13,195,190,16,pchip,poly3,0.0,0.0018636783311132402,0.0765714236535044,0.0765714236535044,0.09419313800054009,1.0,0.2540734197286836,0.2540734197286836,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.9561356986089649,0.0002865844532675177,0.0002865844532675177
B0006,12,26,186,181,15,pchip,poly3,0.0,0.0015291565760797642,0.06355804433643643,0.06355804433643643,0.08019134167831886,1.0,0.20896597175781706,0.20896597175781706,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.8535124654347166,0.0002835115551597839,0.0002835115551597839
B0006,17,36,182,177,14,pchip,poly3,0.0,0.0020067833129086034,0.0746989321799838,0.0746989321799838,0.0931880171576648,1.0,0.2545985859902473,0.2545985859902473,1.0,False,B0006,0.1,0.03,0.0,1.0,0.0,0.0,1.812627981322423,0.00024204719849616193,0.00024204719849616193
